model,fold,regime,pinball,coverage,width,med_MAPE,pinball_%
lgbm,2024-01-01 00:00:00+00:00,medium,191.50430487494782,69.29392446633827,12.713148382281567,4.85162585864025,1.1633561200588651
lgbm,2024-01-01 00:00:00+00:00,low,327.27967169057814,71.26623376623377,12.002618899090974,4.520195556094244,1.5948590377381964
lgbm,2024-01-01 00:00:00+00:00,high,67.44423461007716,75.32467532467533,18.503329958472793,6.127956054281225,1.2635643903177964
xgb,2024-01-01 00:00:00+00:00,medium,190.37112023641296,70.77175697865353,12.882402671973125,4.852537405333825,1.1564722158810605
xgb,2024-01-01 00:00:00+00:00,low,326.0637428509345,71.75324675324676,11.967663204170888,4.521521939595347,1.5889337228870326
xgb,2024-01-01 00:00:00+00:00,high,66.60868304253441,76.94805194805194,18.872983287044175,6.12649445707694,1.247910373141605
vol_21d,2024-01-01 00:00:00+00:00,medium,193.24545241443442,78.65353037766832,15.133109175238532,4.8551294974853665,1.17393329558142
vol_21d,2024-01-01 00:00:00+00:00,low,338.89481374294155,65.9090909090909,10.21979793971308,4.525059640479352,1.6514605192207936
vol_21d,2024-01-01 00:00:00+00:00,high,73.03166362264507,84.74025974025975,23.763500942480288,6.1313185373645265,1.368244595742716
tree_blend,2024-01-01 00:00:00+00:00,medium,190.3701630611165,69.95073891625616,12.735770284525877,4.852072155842597,1.156466401203736
tree_blend,2024-01-01 00:00:00+00:00,low,326.8777506589727,71.42857142857143,11.945150091063644,4.520200310195751,1.5929004456068798
tree_blend,2024-01-01 00:00:00+00:00,high,66.67359902228806,75.64935064935064,18.553143267374146,6.127016415991327,1.249126570802584
lgbm,2025-01-01 00:00:00+00:00,low,549.8094183955077,81.11658456486043,12.040389586135777,3.385524899220913,1.0405909581386852
lgbm,2025-01-01 00:00:00+00:00,medium,104.29194965403588,72.59136212624585,16.466843500107014,5.746354944468164,1.3498304557369483
lgbm,2025-01-01 00:00:00+00:00,high,30.785511585859123,81.77339901477832,21.556509872453656,5.524702283884657,1.159519326775417
xgb,2025-01-01 00:00:00+00:00,low,549.6042416161511,80.623973727422,11.50283081673994,3.3929473521509332,1.040202632485695
xgb,2025-01-01 00:00:00+00:00,medium,104.29438876846325,70.265780730897,15.896383361423263,5.755401773722891,1.3498620247214197
xgb,2025-01-01 00:00:00+00:00,high,31.502264250760216,82.26600985221675,21.366004677088142,5.527580815267237,1.1865154208683393
vol_21d,2025-01-01 00:00:00+00:00,low,544.1596490914256,76.84729064039408,10.383488599265018,3.3854440236304053,1.0298979822515966
vol_21d,2025-01-01 00:00:00+00:00,medium,105.307853659792,75.5813953488372,16.909619971513408,5.773373517311106,1.3629791040422465
vol_21d,2025-01-01 00:00:00+00:00,high,36.218697073007455,88.66995073891626,26.737264659032512,5.573471015478508,1.3641572637066959
tree_blend,2025-01-01 00:00:00+00:00,low,549.2057317386069,80.623973727422,11.615963823902426,3.3921266656830755,1.0394483969971298
tree_blend,2025-01-01 00:00:00+00:00,medium,104.45258809480372,70.93023255813954,15.965526560516292,5.753152096830546,1.3519095678873092
tree_blend,2025-01-01 00:00:00+00:00,high,31.27579035741645,81.9376026272578,21.303746208780403,5.526956938524681,1.1779854064942143
lgbm,2026-01-01 00:00:00+00:00,low,277.10188769168076,76.89969604863222,10.863472851135501,4.103028265976482,1.3415090102772553
lgbm,2026-01-01 00:00:00+00:00,high,53.3482484766894,85.71428571428571,16.927977199815018,4.555661913155105,1.033539342274702
lgbm,2026-01-01 00:00:00+00:00,medium,258.5355650233212,77.95031055900621,13.65625505588304,4.469127051260714,1.276193479333862
xgb,2026-01-01 00:00:00+00:00,low,273.3545985184171,76.59574468085107,10.616694740948406,4.103299978258904,1.323367588607689
xgb,2026-01-01 00:00:00+00:00,high,53.71803839471598,86.01823708206688,16.87801015659743,4.556047108820617,1.0407034468061567
xgb,2026-01-01 00:00:00+00:00,medium,258.9910472115518,77.63975155279503,13.628333755063954,4.469307672197785,1.2784418485225273
vol_21d,2026-01-01 00:00:00+00:00,low,282.1374386315964,65.95744680851064,8.044633109985961,4.101473314541365,1.3658871803932353
vol_21d,2026-01-01 00:00:00+00:00,high,69.08219441542936,89.36170212765957,20.768845448324637,4.557724031305923,1.3383600739996915
vol_21d,2026-01-01 00:00:00+00:00,medium,251.76284821072218,74.53416149068323,12.271719653763979,4.470907528005295,1.2427617267901294
tree_blend,2026-01-01 00:00:00+00:00,low,274.0504374437016,76.59574468085107,10.699184224833674,4.10330021310598,1.3267362924290407
tree_blend,2026-01-01 00:00:00+00:00,high,53.63487070588672,86.01823708206688,16.917778566574846,4.5559400747421135,1.0390922021849078
tree_blend,2026-01-01 00:00:00+00:00,medium,259.00583384910385,77.95031055900621,13.614035691076346,4.469475926929432,1.2785148389075192
dlinear,2021-01-01 00:00:00+00:00,low,383.7811059775418,75.04105090311987,19.133185984063925,6.267085700037193,1.8533303380002233
dlinear,2021-01-01 00:00:00+00:00,medium,200.2246940209211,74.38423645320196,23.815375726900047,8.303257906995288,2.378116731369932
dlinear,2021-01-01 00:00:00+00:00,high,28.0032357016711,83.08702791461413,47.17684348865412,11.392618745449996,2.406933285662486
lstm,2021-01-01 00:00:00+00:00,low,383.02948653859653,78.65353037766832,20.688121731065383,6.238237789042786,1.8497006671093652
lstm,2021-01-01 00:00:00+00:00,medium,199.3787484503961,82.75862068965517,27.403858714102096,8.319809380104672,2.3680692328586663
lstm,2021-01-01 00:00:00+00:00,high,28.926232167753586,81.44499178981938,39.395942763235226,11.307138063134587,2.486266650578963
dlinear,2022-01-01 00:00:00+00:00,low,165.2205748407363,78.32512315270937,16.450800274913913,5.513690380468375,1.6348145286893212
dlinear,2022-01-01 00:00:00+00:00,medium,102.44496101581456,77.01149425287356,19.03691873207639,8.100757749820197,1.7064663001101974
dlinear,2022-01-01 00:00:00+00:00,high,32.15284755047687,90.64039408866995,24.106795315540257,5.9819556732602965,1.4384656479266515
lstm,2022-01-01 00:00:00+00:00,low,165.343691136586,73.5632183908046,14.396535067871588,5.511587025088741,1.6360327323505026
lstm,2022-01-01 00:00:00+00:00,medium,102.97343065491809,76.0262725779967,19.02879680649398,8.097164779626672,1.7152692282466273
lstm,2022-01-01 00:00:00+00:00,high,31.285965610088258,88.99835796387521,23.15976249349263,5.976486010180981,1.3996827721611573
dlinear,2023-01-01 00:00:00+00:00,medium,90.19436255332694,88.03986710963456,14.859648879775634,3.5476638623322287,1.1456869314176925
dlinear,2023-01-01 00:00:00+00:00,low,96.67934030022708,85.71428571428571,13.78395717976528,3.689519449453993,1.1274826453623372
dlinear,2023-01-01 00:00:00+00:00,high,26.562341068706605,86.04269293924466,18.76353881878659,4.824802530308308,1.3390811373355687
lstm,2023-01-01 00:00:00+00:00,medium,86.91553006895226,84.38538205980066,13.254889839762033,3.537772053638027,1.1040378147621492
lstm,2023-01-01 00:00:00+00:00,low,93.47371977829539,82.26600985221675,11.944493248250927,3.6723573109363734,1.0900984276497259
lstm,2023-01-01 00:00:00+00:00,high,27.013171924877565,84.72906403940887,18.763971416903722,4.822988564741675,1.361808768686504
dlinear,2024-01-01 00:00:00+00:00,medium,187.15781233430798,72.74220032840722,13.820654783325532,4.8545624322375165,1.1369519162408597
dlinear,2024-01-01 00:00:00+00:00,low,326.2272600092272,74.67532467532467,12.318010236339003,4.524148719118178,1.589730554588743
dlinear,2024-01-01 00:00:00+00:00,high,68.06789225058141,72.40259740259741,16.694633110740558,6.12129993989992,1.2752485852804456
lstm,2024-01-01 00:00:00+00:00,medium,187.22058097594842,75.86206896551724,14.302349439660103,4.852536106719292,1.1373332250759163
lstm,2024-01-01 00:00:00+00:00,low,331.5378679736587,74.83766233766234,12.023253263550272,4.524470711756533,1.6156095560684485
lstm,2024-01-01 00:00:00+00:00,high,68.78376528260988,75.97402597402598,18.78653142484021,6.121954750740781,1.2886604310295982
dlinear,2025-01-01 00:00:00+00:00,low,556.7210461864493,84.72906403940887,12.528673360106737,3.39378031721811,1.0536721770931778
dlinear,2025-01-01 00:00:00+00:00,medium,103.3862889432068,72.42524916943522,15.63677001733384,5.843094714918842,1.338108664993782
dlinear,2025-01-01 00:00:00+00:00,high,30.81034194672524,77.17569786535303,18.519238853227364,5.5717575844280285,1.1604545486324511
lstm,2025-01-01 00:00:00+00:00,low,548.216046412295,81.11658456486043,11.638149059637184,3.391756750785412,1.0375752795722444
lstm,2025-01-01 00:00:00+00:00,medium,105.03352160407098,73.9202657807309,16.360393962061533,5.81958369626337,1.3594284775075471
lstm,2025-01-01 00:00:00+00:00,high,31.551238703801825,81.77339901477832,20.71549100626476,5.59444143319483,1.1883600166504047
dlinear,2026-01-01 00:00:00+00:00,low,274.1210719468183,82.97872340425532,12.396690500086304,4.1387030296232785,1.3270782490398632
dlinear,2026-01-01 00:00:00+00:00,high,56.28024568806361,84.19452887537993,16.3917372330704,4.610840109569752,1.090342228141125
dlinear,2026-01-01 00:00:00+00:00,medium,252.50237277350155,79.5031055900621,14.415683753998914,4.494864091347422,1.2464121971799234
lstm,2026-01-01 00:00:00+00:00,low,271.2428707375329,79.93920972644378,11.084291531367835,4.1323312492767075,1.3131442665332431
lstm,2026-01-01 00:00:00+00:00,high,56.790371531810365,85.1063829787234,16.902208292092496,4.607923414102236,1.1002251229704414
lstm,2026-01-01 00:00:00+00:00,medium,258.4562113519793,77.63975155279503,13.997824935711229,4.490102305299346,1.2758017706035034
